2024-06-26 23:06:660 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 23:06:20 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (ddb9762f9050bb8d5a4536720270547b)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-26 23:06:876 INFO  BuyPage :29 - click on new car[[ChromeDriver: chrome on windows (ddb9762f9050bb8d5a4536720270547b)] -> xpath: //a[@href='/buy-a-car/new-car-search']]
2024-06-26 23:06:884 INFO  BuyPage :40 - select make[[ChromeDriver: chrome on windows (ddb9762f9050bb8d5a4536720270547b)] -> xpath: //select[@id='make']]
2024-06-26 23:06:603 INFO  BuyPage :49 - select model[[ChromeDriver: chrome on windows (ddb9762f9050bb8d5a4536720270547b)] -> xpath: //select[@id='model']]
2024-06-26 23:06:12 INFO  BuyPage :58 - select state[[ChromeDriver: chrome on windows (ddb9762f9050bb8d5a4536720270547b)] -> xpath: //select[@id='state']]
2024-06-26 23:06:395 INFO  BuyPage :69 - enter price[[ChromeDriver: chrome on windows (ddb9762f9050bb8d5a4536720270547b)] -> xpath: //select[@id='priceTo']]
2024-06-26 23:06:816 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-27 00:06:38 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-27 00:06:22 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (4c8e40a7b758e360f2430fea8d039c25)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-27 00:06:107 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-27 00:06:71 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (d6944211bd9bce3423827b5611050617)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-27 00:06:602 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-27 00:06:553 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (6a614ec38316d9d32291237a42e6f552)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-27 00:06:170 INFO  BuyPage :29 - click on new car[[ChromeDriver: chrome on windows (6a614ec38316d9d32291237a42e6f552)] -> xpath: //a[@href='/buy-a-car/new-car-search']]
2024-06-27 00:06:648 INFO  BuyPage :40 - select make[[ChromeDriver: chrome on windows (6a614ec38316d9d32291237a42e6f552)] -> xpath: //select[@id='make']]
